date,equipment_id,equipment_name,site,area,vibration_mm_s,bearing_temp_c,oil_pressure_bar,hours_since_service,defects_flagged,will_fail
2026-04-20,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.65,53.3,4.43,1391,0,0
2026-04-21,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.65,54.5,4.41,1398,0,0
2026-04-22,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.8,52.5,4.59,1412,0,0
2026-04-23,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.71,53.5,4.42,1422,0,0
2026-04-24,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.7,53.6,4.43,1433,0,0
2026-04-25,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.54,52.0,4.52,1443,0,0
2026-04-26,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.73,53.4,4.52,1453,0,0
2026-04-27,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.78,53.1,4.48,1459,0,0
2026-04-28,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.64,52.4,4.56,1470,0,0
2026-04-29,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.58,53.1,4.5,1481,0,0
2026-04-30,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.59,52.2,4.57,1493,0,0
2026-05-01,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.65,53.8,4.45,1501,0,0
2026-05-02,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.65,52.1,4.57,1515,0,0
2026-05-03,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.57,52.9,4.5,1528,1,0
2026-05-04,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.6,52.9,4.45,1540,0,0
2026-05-05,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.62,53.8,4.39,1554,0,0
2026-05-06,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.76,54.0,4.4,1561,0,0
2026-05-07,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.85,54.5,4.42,1575,1,0
2026-05-08,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.79,54.7,4.48,1583,0,0
2026-05-09,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.76,52.8,4.57,1593,0,0
2026-05-10,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.73,54.0,4.47,1599,0,0
2026-05-11,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.76,54.7,4.52,1605,0,0
2026-05-12,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.88,54.1,4.41,1611,0,0
2026-05-13,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.78,54.9,4.4,1620,1,0
2026-05-14,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.6,53.4,4.4,1629,0,0
2026-05-15,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.86,54.6,4.38,1637,0,0
2026-05-16,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.75,53.6,4.55,1650,0,0
2026-05-17,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.84,54.7,4.49,1660,0,0
2026-05-18,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.78,53.2,4.55,1670,0,0
2026-05-19,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.76,54.0,4.47,1680,0,0
2026-05-20,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.89,53.8,4.43,1688,0,0
2026-05-21,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.73,53.9,4.41,1701,0,0
2026-05-22,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.8,53.5,4.38,1710,0,0
2026-05-23,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.82,52.8,4.44,1723,1,0
2026-05-24,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.8,55.5,4.43,1736,0,0
2026-05-25,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.73,54.7,4.53,1743,0,0
2026-05-26,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.9,52.9,4.53,1755,0,0
2026-05-27,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.94,54.0,4.45,1765,1,0
2026-05-28,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.68,55.8,4.4,1779,0,0
2026-05-29,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.8,53.7,4.51,1790,0,0
2026-05-30,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.71,55.1,4.5,1799,0,0
2026-05-31,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.91,54.4,4.36,1806,0,0
2026-06-01,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.74,53.7,4.39,1816,0,0
2026-06-02,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.67,54.9,4.48,1822,0,0
2026-06-03,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.88,55.8,4.51,1832,0,0
2026-06-04,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.78,53.7,4.53,1845,0,0
2026-06-05,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.8,54.7,4.43,1859,0,0
2026-06-06,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.89,54.9,4.49,1873,0,0
2026-06-07,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.85,53.3,4.44,1887,0,0
2026-06-08,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.94,54.5,4.47,1900,0,0
2026-06-09,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.83,54.7,4.42,1906,0,0
2026-06-10,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.7,54.0,4.33,1915,0,0
2026-06-11,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.72,56.2,4.51,1922,0,0
2026-06-12,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.76,53.7,4.45,1934,0,0
2026-06-13,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.98,54.4,4.34,1948,0,0
2026-06-14,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,3.01,54.5,4.35,1957,0,0
2026-06-15,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.85,55.5,4.4,1969,0,0
2026-06-16,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.8,56.2,4.46,1976,1,0
2026-06-17,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,3.0,56.1,4.36,1983,1,0
2026-06-18,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.94,53.6,4.46,1995,0,0
2026-06-19,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.96,53.9,4.51,2004,0,0
2026-06-20,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.91,55.5,4.38,2014,0,0
2026-06-21,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.86,54.3,4.42,2022,0,0
2026-06-22,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,3.03,56.4,4.44,2036,0,0
2026-06-23,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.86,55.8,4.4,2045,0,0
2026-06-24,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,3.02,55.3,4.5,2059,0,0
2026-06-25,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.85,53.9,4.4,2070,0,0
2026-06-26,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.83,55.7,4.42,2077,0,0
2026-06-27,EQ-CRN-01,Overhead Crane #1,Jharsuguda Smelter,Cast House,2.92,55.1,4.48,2088,0,0
2026-03-30,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,2.52,55.5,5.84,1447,0,0
2026-03-31,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,2.58,57.2,5.83,1454,0,0
2026-04-01,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,2.7,57.1,5.75,1460,0,0
2026-04-02,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,2.78,60.1,5.77,1472,0,0
2026-04-03,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,2.98,58.8,5.72,1483,0,0
2026-04-04,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,3.1,60.4,5.6,1494,1,0
2026-04-05,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,3.28,61.3,5.66,1500,1,0
2026-04-06,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,3.36,60.7,5.49,1508,1,0
2026-04-07,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,3.21,62.9,5.52,1521,1,0
2026-04-08,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,3.44,62.2,5.55,1535,1,0
2026-04-09,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,3.62,65.4,5.55,1542,2,0
2026-04-10,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,3.7,64.5,5.39,1554,2,0
2026-04-11,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,3.69,66.7,5.34,1561,0,0
2026-04-12,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,3.75,66.6,5.35,1567,1,0
2026-04-13,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,4.08,68.2,5.27,1574,1,0
2026-04-14,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,4.2,69.1,5.27,1584,2,0
2026-04-15,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,4.3,69.5,5.13,1595,3,0
2026-04-16,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,4.38,71.1,5.26,1605,2,0
2026-04-17,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,4.35,72.2,5.1,1613,1,0
2026-04-18,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,4.56,71.3,5.02,1622,1,0
2026-04-19,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,4.72,72.3,5.11,1628,1,0
2026-04-20,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,4.61,73.6,4.99,1636,1,0
2026-04-21,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,4.82,75.1,5.02,1643,2,0
2026-04-22,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,4.79,74.7,4.91,1650,3,0
2026-04-23,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,4.92,74.8,4.83,1663,3,0
2026-04-24,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,4.97,76.9,4.87,1674,2,0
2026-04-25,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,5.28,78.2,4.82,1683,3,0
2026-04-26,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,5.19,77.7,4.77,1690,3,0
2026-04-27,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,5.48,78.7,4.82,1703,3,0
2026-04-28,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,5.44,81.3,4.66,1715,2,0
2026-04-29,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,5.7,81.9,4.74,1723,1,0
2026-04-30,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,5.7,80.6,4.59,1734,2,0
2026-05-01,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,5.83,81.6,4.54,1746,2,0
2026-05-02,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,6.06,82.3,4.58,1752,1,0
2026-05-03,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,5.99,83.4,4.52,1764,2,0
2026-05-04,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,6.04,83.8,4.43,1776,2,0
2026-05-05,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,6.19,85.7,4.49,1788,2,0
2026-05-06,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,6.44,86.6,4.39,1795,2,0
2026-05-07,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,6.32,87.6,4.34,1807,1,0
2026-05-08,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,6.4,86.9,4.23,1821,2,0
2026-05-09,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,6.59,88.8,4.28,1835,2,0
2026-05-10,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,6.66,91.0,4.12,1843,2,0
2026-05-11,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,6.83,90.1,4.08,1856,2,0
2026-05-12,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,6.81,92.4,4.15,1864,1,0
2026-05-13,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,7.05,91.7,4.06,1877,3,0
2026-05-14,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,7.17,92.8,3.94,1886,3,0
2026-05-15,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,7.15,93.2,4.04,1893,2,0
2026-05-16,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,7.3,93.7,3.88,1906,2,0
2026-05-17,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,7.47,95.7,3.88,1919,0,0
2026-05-18,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,7.48,96.6,3.79,1927,3,0
2026-05-19,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,7.6,96.0,3.81,1935,3,0
2026-05-20,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,7.76,99.1,3.88,1943,3,0
2026-05-21,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,7.79,98.6,3.66,1954,2,0
2026-05-22,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,7.91,99.7,3.74,1966,1,0
2026-05-23,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,8.05,99.1,3.58,1975,3,0
2026-05-24,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,8.05,101.0,3.68,1988,3,1
2026-05-25,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,8.34,102.9,3.56,1994,2,1
2026-05-26,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,8.33,103.5,3.58,2003,2,1
2026-05-27,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,8.41,104.5,3.5,2010,1,1
2026-05-28,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,8.59,104.0,3.51,2022,3,1
2026-05-29,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,8.57,103.9,3.4,2032,2,1
2026-05-30,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,8.7,106.3,3.48,2046,1,1
2026-05-31,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,9.0,107.7,3.43,2056,1,1
2026-06-01,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,8.89,108.3,3.37,2068,3,1
2026-06-02,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,9.04,108.3,3.29,2075,1,1
2026-06-03,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,9.28,109.2,3.22,2081,1,1
2026-06-04,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,9.41,110.5,3.22,2088,1,1
2026-06-05,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,9.47,110.9,3.11,2098,3,1
2026-06-06,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,9.47,111.3,3.14,2104,1,1
2026-06-07,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,9.43,113.9,2.99,2117,2,1
2026-06-08,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,9.74,112.3,3.05,2125,1,1
2026-06-09,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,9.74,112.9,3.01,2133,1,1
2026-06-10,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,9.96,114.8,2.86,2140,3,1
2026-06-11,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,9.9,116.4,2.8,2151,1,1
2026-06-12,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,9.98,115.4,2.83,2158,3,1
2026-06-13,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,10.15,118.4,2.89,2166,2,1
2026-06-14,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,10.19,117.8,2.72,2174,1,1
2026-06-15,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,10.31,120.3,2.66,2181,2,0
2026-06-16,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,10.44,118.8,2.65,2188,1,0
2026-06-17,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,10.53,122.0,2.56,2198,2,0
2026-06-18,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,10.67,122.0,2.67,2207,3,0
2026-06-19,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,10.83,122.4,2.67,2218,1,0
2026-06-20,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,10.92,122.8,2.57,2231,1,0
2026-06-21,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,10.88,123.3,2.4,2237,2,0
2026-06-22,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,11.17,125.6,2.43,2249,2,0
2026-06-23,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,11.14,125.0,2.41,2258,2,0
2026-06-24,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,11.34,127.2,2.4,2265,2,0
2026-06-25,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,11.33,126.5,2.41,2272,2,0
2026-06-26,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,11.59,128.8,2.21,2280,1,0
2026-06-27,EQ-CRN-02,EOT Crane #2,BALCO Korba,Material Handling,11.62,129.7,2.29,2288,1,0
2026-03-30,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.57,50.7,5.16,1279,0,0
2026-03-31,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.8,49.0,5.08,1286,0,0
2026-04-01,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.76,48.4,5.22,1292,0,0
2026-04-02,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.57,51.1,5.22,1306,0,0
2026-04-03,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.59,49.0,5.24,1317,0,0
2026-04-04,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.67,50.9,5.09,1331,0,0
2026-04-05,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.65,49.0,5.23,1342,0,0
2026-04-06,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.59,50.5,5.21,1351,0,0
2026-04-07,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.73,48.7,5.25,1360,1,0
2026-04-08,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.65,49.9,5.21,1366,1,0
2026-04-09,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.73,50.1,5.09,1380,0,0
2026-04-10,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.76,48.3,5.13,1386,0,0
2026-04-11,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.68,49.0,5.27,1393,0,0
2026-04-12,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.58,49.6,5.09,1401,0,0
2026-04-13,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.69,49.8,5.23,1412,0,0
2026-04-14,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.49,50.0,5.11,1419,0,0
2026-04-15,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.6,50.5,5.13,1429,0,0
2026-04-16,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.67,48.5,5.23,1435,0,0
2026-04-17,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.64,50.4,5.17,1441,0,0
2026-04-18,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.43,48.7,5.19,1455,0,0
2026-04-19,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.45,47.4,5.27,1464,0,0
2026-04-20,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.59,49.3,5.22,1474,0,0
2026-04-21,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.45,49.2,5.27,1481,0,0
2026-04-22,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.4,48.6,5.14,1493,1,0
2026-04-23,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.59,47.7,5.15,1501,0,0
2026-04-24,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.56,49.0,5.24,1514,0,0
2026-04-25,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.45,47.5,5.16,1528,0,0
2026-04-26,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.37,48.2,5.26,1541,0,0
2026-04-27,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.5,48.1,5.16,1552,1,0
2026-04-28,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.43,49.3,5.22,1563,0,0
2026-04-29,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.37,48.8,5.18,1569,0,0
2026-04-30,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.63,47.9,5.32,1577,0,0
2026-05-01,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.53,49.5,5.14,1588,0,0
2026-05-02,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.37,49.6,5.31,1601,1,0
2026-05-03,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.33,48.4,5.14,1614,1,0
2026-05-04,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.34,48.7,5.33,1625,0,0
2026-05-05,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.34,46.8,5.25,1636,0,0
2026-05-06,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.41,46.7,5.21,1644,0,0
2026-05-07,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.47,47.8,5.21,1658,0,0
2026-05-08,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.34,48.1,5.19,1668,0,0
